id;nom;population;longitude;latitude
saint-remy-blanzy;SAINT-REMY-BLANZY;234;3,3;49,2333
beaumont-en-beine;BEAUMONT-EN-BEINE;161;3,13333;49,7
plessier-huleu;LE PLESSIER-HULEU;76;3,35;49,2333
estrees-02;ESTREES;416;3,28333;49,9667
baulne-en-brie;BAULNE-EN-BRIE;288;3,61667;48,9833
guivry;GUIVRY;263;3,11667;49,65
variscourt;VARISCOURT;214;3,98333;49,4167
chatillon-sur-oise;CHATILLON-SUR-OISE;129;3,4;49,7833
soissons;SOISSONS;28646;3,33333;49,3667
bray-saint-christophe;BRAY-SAINT-CHRISTOPHE;80;3,15;49,7667
